Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-18,Short Test List,,https://boxd.it/pLNM4,

Position,Name,Year,URL,Description
1,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
2,Spider-Man,2002,https://boxd.it/2a8i,
3,Shrek,2001,https://boxd.it/29zi,
4,X-Men,2000,https://boxd.it/1a7s,
5,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
6,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark,
7,Big Fish,2003,https://boxd.it/2a3M,
8,The Fast and the Furious,2001,https://boxd.it/1XMu,
9,The Sixth Sense,1999,https://boxd.it/29Js,
10,Fight Club,1999,https://boxd.it/2a9q,
11,Galaxy Quest,1999,https://boxd.it/29gq,
12,The Blair Witch Project,1999,https://boxd.it/26ua,
13,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
14,Cast Away,2000,https://boxd.it/20i8,
15,Ocean's Eleven,2001,https://boxd.it/2aZm,
16,Catch Me If You Can,2002,https://boxd.it/29VS,
17,The Ring,2002,https://boxd.it/2a70,
18,Unbreakable,2000,https://boxd.it/1XV2,
19,Kung Pow: Enter the Fist,2002,https://boxd.it/1SQm,
20,Minority Report,2002,https://boxd.it/2aWi,
21,A Walk to Remember,2002,https://boxd.it/1WLq,
22,Scooby-Doo,2002,https://boxd.it/1YaQ,
23,About a Boy,2002,https://boxd.it/2aMC,
24,The Mothman Prophecies,2002,https://boxd.it/26xo,
25,The Mummy,1999,https://boxd.it/2a7a,
26,The Count of Monte Cristo,2002,https://boxd.it/1U24,
27,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
